,timestamp,open,high,low
85904,1525104060000.0,0.14923599999999998,0.14923599999999998,0.149224
85905,1525104120000.0,0.149265,0.149265,0.149265
85906,1525104180000.0,0.149265,0.149265,0.149265
85907,1525104240000.0,0.149246,0.149371,0.149368
85908,1525104300000.0,0.149265,0.149411,0.14926099999999998
85909,1525104360000.0,0.1494,0.1494,0.149256
85910,1525104420000.0,0.14939000000000002,0.14942,0.149419
85911,1525104480000.0,0.14942,0.149499,0.149327
85912,1525104540000.0,0.149327,0.149327,0.149327
85913,1525104600000.0,0.149331,0.149331,0.149331
85914,1525104660000.0,0.14935299999999999,0.14935299999999999,0.14935299999999999
85915,1525104720000.0,0.14912999999999998,0.149285,0.149285
85916,1525104780000.0,0.14929800000000001,0.14929800000000001,0.14929800000000001
85917,1525104840000.0,0.14929800000000001,0.149324,0.149324
85918,1525104900000.0,0.149398,0.149398,0.149398
85919,1525104960000.0,0.14938800000000002,0.149392,0.149392
85920,1525105020000.0,0.149499,0.14952000000000001,0.149509
85921,1525105080000.0,0.149499,0.149565,0.149565
85922,1525105140000.0,0.149623,0.149623,0.149623
85923,1525105200000.0,0.149784,0.149847,0.149846
85924,1525105260000.0,0.149653,0.14993,0.149842
85925,1525105320000.0,0.149729,0.149729,0.149729
85926,1525105380000.0,0.14968099999999998,0.149998,0.149998
85927,1525105440000.0,0.14968099999999998,0.149951,0.14995
85928,1525105500000.0,0.14995,0.14995,0.14995
85929,1525105560000.0,0.14949,0.14971500000000001,0.149496
85930,1525105620000.0,0.14971700000000002,0.14971700000000002,0.14971700000000002
85931,1525105680000.0,0.149713,0.14971800000000002,0.14971800000000002
85932,1525105740000.0,0.14968299999999998,0.14972,0.14972
85933,1525105800000.0,0.14972,0.14972,0.14972
85934,1525105860000.0,0.149622,0.149622,0.149622
85935,1525105920000.0,0.149973,0.149973,0.149973
85936,1525105980000.0,0.14954800000000001,0.149549,0.14954800000000001
85937,1525106040000.0,0.149528,0.14954800000000001,0.14941400000000002
85938,1525106100000.0,0.149303,0.149303,0.149292
85939,1525106160000.0,0.149285,0.14935199999999998,0.14935199999999998
85940,1525106220000.0,0.14935199999999998,0.14935199999999998,0.14908
85941,1525106280000.0,0.149176,0.149349,0.14923499999999998
85942,1525106340000.0,0.14923499999999998,0.14923499999999998,0.149123
85943,1525106400000.0,0.14923499999999998,0.14923499999999998,0.149117
85944,1525106460000.0,0.149234,0.149234,0.14913099999999999
85945,1525106520000.0,0.149111,0.149264,0.149264
85946,1525106580000.0,0.14918199999999998,0.14918199999999998,0.14918199999999998
85947,1525106640000.0,0.14918199999999998,0.149398,0.149398
85948,1525106700000.0,0.14918499999999998,0.14918499999999998,0.14916
85949,1525106760000.0,0.149397,0.149399,0.14915799999999999
85950,1525106820000.0,0.149276,0.149395,0.14907
85951,1525106880000.0,0.149143,0.149393,0.149387
85952,1525106940000.0,0.149386,0.149386,0.149
85953,1525107000000.0,0.149001,0.149039,0.149032
85954,1525107060000.0,0.149,0.149032,0.149032
85955,1525107120000.0,0.149033,0.149033,0.148926
